id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,Unit Effort,NPV,Time
1,SAA,50,10,2,10,0,1,113,0,94,7,2,1,"1,551020408",2,1,"1,551020408","0,1",0,104,52,113,"509,2719684",0
2,HS,50,10,2,10,0,1,52,0,94,7,2,1,"1,551020408",2,1,"1,551020408","0,1",0,104,52,52,"509,2719684",0
3,RS,50,10,2,10,0,1,52,0,94,7,2,1,"1,551020408",2,1,"1,551020408","0,1",0,104,52,52,"509,2719684",0
4,SAA,50,10,2,10,0,1,131,0,92,9,2,1,"1,530612245",2,1,"1,612244898","0,1",0,120,60,131,"434,4932236",0
5,HS,50,10,2,10,0,1,52,0,92,9,2,1,"1,530612245",2,1,"1,612244898","0,1",0,120,60,52,"434,4932236",0
6,RS,50,10,2,10,0,1,52,0,92,9,2,1,"1,530612245",2,1,"1,612244898","0,1",0,120,60,52,"434,4932236",0
7,SAA,50,10,2,10,0,1,116,0,96,8,2,1,"1,591836735",2,1,"1,591836735","0,1",0,108,54,116,"504,4171163",0
8,HS,50,10,2,10,0,1,52,0,96,8,2,1,"1,591836735",2,1,"1,591836735","0,1",0,108,54,52,"504,4171163",0
9,RS,50,10,2,10,0,1,52,"0,00099730492",96,8,2,1,"1,591836735",2,1,"1,591836735","0,1",0,108,54,52,"504,4171163","0,00099730492"
10,SAA,50,10,2,10,0,1,115,0,96,8,2,1,"1,612244898",2,1,"1,673469388","0,1",0,124,62,115,"400,0040821",0
11,HS,50,10,2,10,0,1,52,0,96,8,2,1,"1,612244898",2,1,"1,673469388","0,1",0,124,62,52,"400,0040821",0
12,RS,50,10,2,10,0,1,52,0,96,8,2,1,"1,612244898",2,1,"1,673469388","0,1",0,124,62,52,"400,0040821",0
13,SAA,50,10,2,10,0,1,117,"0,00099754333",95,8,2,1,"1,612244898",2,1,"1,571428571","0,1",0,118,59,117,"562,6305723","0,00099754333"
14,HS,50,10,2,10,0,1,52,0,95,8,2,1,"1,612244898",2,1,"1,571428571","0,1",0,118,59,52,"562,6305723",0
15,RS,50,10,2,10,0,1,52,0,95,8,2,1,"1,612244898",2,1,"1,571428571","0,1",0,118,52,52,"562,6305723",0
16,SAA,50,10,2,10,0,1,120,0,93,7,2,1,"1,571428571",2,1,"1,571428571","0,1",0,102,51,120,"558,7080868",0
17,HS,50,10,2,10,0,1,52,0,93,7,2,1,"1,571428571",2,1,"1,571428571","0,1",0,102,51,52,"558,7080868",0
18,RS,50,10,2,10,0,1,52,0,93,7,2,1,"1,571428571",2,1,"1,571428571","0,1",0,102,51,52,"558,7080868",0
