id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time
1,SAA,50,10,2,10,0,1,113,"0,00000000000"
2,HS,50,10,2,10,0,1,52,"0,00000000000"
3,RS,50,10,2,10,0,1,52,"0,00000000000"
4,SAA,50,10,2,10,0,1,131,"0,00000000000"
5,HS,50,10,2,10,0,1,52,"0,00000000000"
6,RS,50,10,2,10,0,1,52,"0,00000000000"
7,SAA,50,10,2,10,0,1,116,"0,00000000000"
8,HS,50,10,2,10,0,1,52,"0,00000000000"
9,RS,50,10,2,10,0,1,52,"0,00099730492"
10,SAA,50,10,2,10,0,1,115,"0,00000000000"
11,HS,50,10,2,10,0,1,52,"0,00000000000"
12,RS,50,10,2,10,0,1,52,"0,00000000000"
13,SAA,50,10,2,10,0,1,117,"0,00099754333"
14,HS,50,10,2,10,0,1,52,"0,00000000000"
15,RS,50,10,2,10,0,1,52,"0,00000000000"
16,SAA,50,10,2,10,0,1,120,"0,00000000000"
17,HS,50,10,2,10,0,1,52,"0,00000000000"
18,RS,50,10,2,10,0,1,52,"0,00000000000"
19,SAA,50,10,2,10,0,1,124,"0,00000000000"
20,HS,50,10,2,10,0,1,52,"0,00000000000"
21,RS,50,10,2,10,0,1,52,"0,00000000000"
22,SAA,50,10,2,10,0,1,116,"0,00000000000"
23,HS,50,10,2,10,0,1,52,"0,00000000000"
24,RS,50,10,2,10,0,1,52,"0,00000000000"
25,SAA,50,10,2,10,0,1,119,"0,00000000000"
26,HS,50,10,2,10,0,1,52,"0,00000000000"
27,RS,50,10,2,10,0,1,52,"0,00000000000"
28,SAA,50,10,2,10,0,1,128,"0,00000000000"
29,HS,50,10,2,10,0,1,52,"0,00000000000"
30,RS,50,10,2,10,0,1,52,"0,01562166214"
31,SAA,50,10,2,10,0,2,94,"0,00000000000"
32,HS,50,10,2,10,0,2,52,"0,00000000000"
33,RS,50,10,2,10,0,2,52,"0,00000000000"
34,SAA,50,10,2,10,0,2,126,"0,00000000000"
35,HS,50,10,2,10,0,2,52,"0,00000000000"
36,RS,50,10,2,10,0,2,52,"0,00000000000"
37,SAA,50,10,2,10,0,2,110,"0,00000000000"
38,HS,50,10,2,10,0,2,52,"0,00000000000"
39,RS,50,10,2,10,0,2,52,"0,00000000000"
40,SAA,50,10,2,10,0,2,107,"0,00000000000"
41,HS,50,10,2,10,0,2,52,"0,00000000000"
42,RS,50,10,2,10,0,2,52,"0,00000000000"
43,SAA,50,10,2,10,0,2,106,"0,00000000000"
44,HS,50,10,2,10,0,2,52,"0,00000000000"
45,RS,50,10,2,10,0,2,52,"0,00000000000"
46,SAA,50,10,2,10,0,2,110,"0,00000000000"
47,HS,50,10,2,10,0,2,52,"0,00000000000"
48,RS,50,10,2,10,0,2,52,"0,00000000000"
49,SAA,50,10,2,10,0,2,112,"0,01561856270"
50,HS,50,10,2,10,0,2,52,"0,00000000000"
51,RS,50,10,2,10,0,2,52,"0,00000000000"
52,SAA,50,10,2,10,0,2,109,"0,00000000000"
53,HS,50,10,2,10,0,2,52,"0,00000000000"
54,RS,50,10,2,10,0,2,52,"0,00000000000"
55,SAA,50,10,2,10,0,2,108,"0,00099706650"
56,HS,50,10,2,10,0,2,52,"0,00000000000"
57,RS,50,10,2,10,0,2,52,"0,00000000000"
58,SAA,50,10,2,10,0,2,95,"0,00000000000"
59,HS,50,10,2,10,0,2,52,"0,00000000000"
60,RS,50,10,2,10,0,2,52,"0,00000000000"
61,SAA,50,10,2,10,100,1,2264,"0,03124189377"
62,HS,50,10,2,10,100,1,2151,"0,00651025772"
63,RS,50,10,2,10,100,1,10961,"0,07810473442"
64,SAA,50,10,2,10,100,1,2274,"0,01562738419"
65,HS,50,10,2,10,100,1,2158,"0,01562094688"
66,RS,50,10,2,10,100,1,9862,"0,06900072098"
67,SAA,50,10,2,10,100,1,2266,"0,01562190056"
68,HS,50,10,2,10,100,1,2165,"0,00650763512"
69,RS,50,10,2,10,100,1,10523,"0,08385992050"
70,SAA,50,10,2,10,100,1,2267,"0,00897693634"
71,HS,50,10,2,10,100,1,2147,"0,00498628616"
72,RS,50,10,2,10,100,1,12100,"0,07380318642"
73,SAA,50,10,2,10,100,1,2327,"0,01495957375"
74,HS,50,10,2,10,100,1,2206,"0,00000000000"
75,RS,50,10,2,10,100,1,17286,"0,13269138340"
76,SAA,50,10,2,10,100,1,2187,"0,01721954346"
77,HS,50,10,2,10,100,1,2071,"0,01562261581"
78,RS,50,10,2,10,100,1,6040,"0,04687070847"
79,SAA,50,10,2,10,100,1,2196,"0,01562070847"
80,HS,50,10,2,10,100,1,2080,"0,01562738419"
81,RS,50,10,2,10,100,1,14263,"0,13148307800"
82,SAA,50,10,2,10,100,1,2124,"0,00650763512"
83,HS,50,10,2,10,100,1,2023,"0,01562094688"
84,RS,50,10,2,10,100,1,5779,"0,05336952209"
85,SAA,50,10,2,10,100,1,2154,"0,01562237740"
86,HS,50,10,2,10,100,1,2041,"0,00000000000"
87,RS,50,10,2,10,100,1,21143,"0,16273236280"
88,SAA,50,10,2,10,100,1,2189,"0,00000000000"
89,HS,50,10,2,10,100,1,2075,"0,01562666893"
90,RS,50,10,2,10,100,1,15342,"0,13148474690"
91,SAA,50,10,2,10,100,2,2042,"0,01562142372"
92,HS,50,10,2,10,100,2,1937,"0,00000000000"
93,RS,50,10,2,10,100,2,8276,"0,11587667470"
94,SAA,50,10,2,10,100,2,2265,"0,01562190056"
95,HS,50,10,2,10,100,2,2158,"0,01562952995"
96,RS,50,10,2,10,100,2,8302,"0,06248474121"
97,SAA,50,10,2,10,100,2,2076,"0,01561903954"
98,HS,50,10,2,10,100,2,1961,"0,01562285423"
99,RS,50,10,2,10,100,2,12510,"0,07811379433"
100,SAA,50,10,2,10,100,2,2238,"0,01562213898"
101,HS,50,10,2,10,100,2,2136,"0,00000000000"
102,RS,50,10,2,10,100,2,6282,"0,04687094688"
103,SAA,50,10,2,10,100,2,2298,"0,01562070847"
104,HS,50,10,2,10,100,2,2197,"0,00000000000"
105,RS,50,10,2,10,100,2,10227,"0,10024404530"
106,SAA,50,10,2,10,100,2,2302,"0,01562356949"
107,HS,50,10,2,10,100,2,2199,"0,01562833786"
108,RS,50,10,2,10,100,2,6480,"0,05376601219"
109,SAA,50,10,2,10,100,2,2164,"0,00000000000"
