;batch;instance;algo;par_Vertices;par_Layer;par_Fan;par_DicountedRate;par_PercNeg;par_CP;vertices;edges;diameter;max in degree;min in degree;mean in degree;max out degree;min out degree;mean out degree;discounted Rate;negative activities;deadline;last task Early Finish;effort;NPV;time
0;['50', '10', '2', '10', '0'];dg1.tpf;SAA;50;10;2;10;0;1;52;94;7;2;1;1.5510204081632653;2;1;1.5510204081632653;0.1;0.0;104;52;113;509.2719683691791;0.003454446792602539
1;['50', '10', '2', '10', '0'];dg1.tpf;HS;50;10;2;10;0;1;52;94;7;2;1;1.5510204081632653;2;1;1.5510204081632653;0.1;0.0;104;52;52;509.2719683691791;0.0
2;['50', '10', '2', '10', '0'];dg1.tpf;RS;50;10;2;10;0;1;52;94;7;2;1;1.5510204081632653;2;1;1.5510204081632653;0.1;0.0;104;52;52;509.2719683691791;0.0
3;['50', '10', '2', '10', '0'];dg10.tpf;SAA;50;10;2;10;0;1;52;92;9;2;1;1.530612244897959;2;1;1.6122448979591837;0.1;0.0;120;60;131;434.49322355911664;0.0015377998352050781
4;['50', '10', '2', '10', '0'];dg10.tpf;HS;50;10;2;10;0;1;52;92;9;2;1;1.530612244897959;2;1;1.6122448979591837;0.1;0.0;120;60;52;434.49322355911664;0.0
5;['50', '10', '2', '10', '0'];dg10.tpf;RS;50;10;2;10;0;1;52;92;9;2;1;1.530612244897959;2;1;1.6122448979591837;0.1;0.0;120;60;52;434.49322355911664;0.0
6;['50', '10', '2', '10', '0'];dg2.tpf;SAA;50;10;2;10;0;1;52;96;8;2;1;1.5918367346938775;2;1;1.5918367346938775;0.1;0.0;108;54;116;504.4171163095157;0.0018472671508789062
7;['50', '10', '2', '10', '0'];dg2.tpf;HS;50;10;2;10;0;1;52;96;8;2;1;1.5918367346938775;2;1;1.5918367346938775;0.1;0.0;108;54;52;504.4171163095157;0.0
8;['50', '10', '2', '10', '0'];dg2.tpf;RS;50;10;2;10;0;1;52;96;8;2;1;1.5918367346938775;2;1;1.5918367346938775;0.1;0.0;108;54;52;504.4171163095157;0.0
9;['50', '10', '2', '10', '0'];dg3.tpf;SAA;50;10;2;10;0;1;52;96;8;2;1;1.6122448979591837;2;1;1.6734693877551021;0.1;0.0;124;62;115;400.0040820639207;0.0
10;['50', '10', '2', '10', '0'];dg3.tpf;HS;50;10;2;10;0;1;52;96;8;2;1;1.6122448979591837;2;1;1.6734693877551021;0.1;0.0;124;62;52;400.0040820639207;0.0
11;['50', '10', '2', '10', '0'];dg3.tpf;RS;50;10;2;10;0;1;52;96;8;2;1;1.6122448979591837;2;1;1.6734693877551021;0.1;0.0;124;62;52;400.0040820639207;0.0
12;['50', '10', '2', '10', '0'];dg4.tpf;SAA;50;10;2;10;0;1;52;95;8;2;1;1.6122448979591837;2;1;1.5714285714285714;0.1;0.0;118;59;117;562.6305722618728;0.000997304916381836
13;['50', '10', '2', '10', '0'];dg4.tpf;HS;50;10;2;10;0;1;52;95;8;2;1;1.6122448979591837;2;1;1.5714285714285714;0.1;0.0;118;59;52;562.6305722618728;0.0
14;['50', '10', '2', '10', '0'];dg4.tpf;RS;50;10;2;10;0;1;52;95;8;2;1;1.6122448979591837;2;1;1.5714285714285714;0.1;0.0;118;52;52;562.6305722618728;0.0
15;['50', '10', '2', '10', '0'];dg5.tpf;SAA;50;10;2;10;0;1;52;93;7;2;1;1.5714285714285714;2;1;1.5714285714285714;0.1;0.0;102;51;120;558.7080868151453;0.0
16;['50', '10', '2', '10', '0'];dg5.tpf;HS;50;10;2;10;0;1;52;93;7;2;1;1.5714285714285714;2;1;1.5714285714285714;0.1;0.0;102;51;52;558.7080868151453;0.0
17;['50', '10', '2', '10', '0'];dg5.tpf;RS;50;10;2;10;0;1;52;93;7;2;1;1.5714285714285714;2;1;1.5714285714285714;0.1;0.0;102;51;52;558.7080868151453;0.0
18;['50', '10', '2', '10', '0'];dg6.tpf;SAA;50;10;2;10;0;1;52;93;9;2;1;1.5510204081632653;2;1;1.6122448979591837;0.1;0.0;104;52;124;470.7473694070994;0.0
19;['50', '10', '2', '10', '0'];dg6.tpf;HS;50;10;2;10;0;1;52;93;9;2;1;1.5510204081632653;2;1;1.6122448979591837;0.1;0.0;104;52;52;470.7473694070994;0.0
20;['50', '10', '2', '10', '0'];dg6.tpf;RS;50;10;2;10;0;1;52;93;9;2;1;1.5510204081632653;2;1;1.6122448979591837;0.1;0.0;104;52;52;470.7473694070994;0.0
21;['50', '10', '2', '10', '0'];dg7.tpf;SAA;50;10;2;10;0;1;52;95;8;2;1;1.5510204081632653;2;1;1.6326530612244898;0.1;0.0;100;50;116;442.6656029144814;0.0
22;['50', '10', '2', '10', '0'];dg7.tpf;HS;50;10;2;10;0;1;52;95;8;2;1;1.5510204081632653;2;1;1.6326530612244898;0.1;0.0;100;50;52;442.6656029144814;0.0
