,batch,instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,par_PercNeg,par_CP,vertices,edges,diameter,max in degree,min in degree,mean in degree,max out degree,min out degree,mean out degree,discounted Rate,negative activities,deadline,last task Early Finish,effort,NPV,time
0,"['100', '10', '3', '20', '50']",dg1.tpf,SAA,100,10,3,20,50,1,102,241,9,3,1,2.121212121212121,3,1,2.1616161616161618,0.2,44.11764705882353,134,67,3522,262.1016329715413,0.026118755340576172
1,"['100', '10', '3', '20', '50']",dg1.tpf,HS,100,10,3,20,50,1,102,241,9,3,1,2.121212121212121,3,1,2.1616161616161618,0.2,44.11764705882353,134,67,2742,262.1016329715413,0.005211591720581055
2,"['100', '10', '3', '20', '50']",dg1.tpf,RS,100,10,3,20,50,1,102,241,9,3,1,2.121212121212121,3,1,2.1616161616161618,0.2,44.11764705882353,134,66,12529,261.8470025993723,0.05960536003112793
3,"['100', '10', '3', '20', '50']",dg10.tpf,SAA,100,10,3,20,50,1,102,233,9,3,1,2.090909090909091,3,1,2.080808080808081,0.2,43.13725490196079,110,55,4514,268.3487103531919,0.022123098373413086
4,"['100', '10', '3', '20', '50']",dg10.tpf,HS,100,10,3,20,50,1,102,233,9,3,1,2.090909090909091,3,1,2.080808080808081,0.2,43.13725490196079,110,55,3127,268.3487103531919,0.012775897979736328
5,"['100', '10', '3', '20', '50']",dg10.tpf,RS,100,10,3,20,50,1,102,233,9,3,1,2.090909090909091,3,1,2.080808080808081,0.2,43.13725490196079,110,55,16008,268.3487103531919,0.13788580894470215
6,"['100', '10', '3', '20', '50']",dg100.tpf,SAA,100,10,3,20,50,1,102,232,9,3,1,2.0505050505050506,3,1,2.121212121212121,0.2,43.13725490196079,124,62,7774,184.66857461084714,0.10032200813293457
7,"['100', '10', '3', '20', '50']",dg100.tpf,HS,100,10,3,20,50,1,102,232,9,3,1,2.0505050505050506,3,1,2.121212121212121,0.2,43.13725490196079,124,62,5443,184.66857461084714,0.0655357837677002
8,"['100', '10', '3', '20', '50']",dg100.tpf,RS,100,10,3,20,50,1,102,232,9,3,1,2.0505050505050506,3,1,2.121212121212121,0.2,43.13725490196079,124,62,13590,184.66857461084714,0.08451247215270996
9,"['100', '10', '3', '20', '50']",dg1000.tpf,SAA,100,10,3,20,50,1,102,244,8,3,1,2.202020202020202,3,1,2.212121212121212,0.2,47.05882352941176,138,69,5782,142.15765040402,0.035300493240356445
10,"['100', '10', '3', '20', '50']",dg1000.tpf,HS,100,10,3,20,50,1,102,244,8,3,1,2.202020202020202,3,1,2.212121212121212,0.2,47.05882352941176,138,69,4458,142.15765040402,0.010372161865234375
11,"['100', '10', '3', '20', '50']",dg1000.tpf,RS,100,10,3,20,50,1,102,244,8,3,1,2.202020202020202,3,1,2.212121212121212,0.2,47.05882352941176,138,69,29095,142.15765040402,0.2928614616394043
12,"['100', '10', '3', '20', '50']",dg101.tpf,SAA,100,10,3,20,50,1,102,241,8,3,1,2.121212121212121,3,1,2.1818181818181817,0.2,42.15686274509804,142,71,4822,166.7822178089587,0.05933332443237305
13,"['100', '10', '3', '20', '50']",dg101.tpf,HS,100,10,3,20,50,1,102,241,8,3,1,2.121212121212121,3,1,2.1818181818181817,0.2,42.15686274509804,142,71,3693,166.7822178089587,0.044663429260253906
14,"['100', '10', '3', '20', '50']",dg101.tpf,RS,100,10,3,20,50,1,102,241,8,3,1,2.121212121212121,3,1,2.1818181818181817,0.2,42.15686274509804,142,71,19530,166.7822178089587,0.13059377670288086
15,"['100', '10', '3', '20', '50']",dg102.tpf,SAA,100,10,3,20,50,1,102,247,8,3,1,2.212121212121212,3,1,2.1717171717171717,0.2,37.254901960784316,140,70,3207,274.0131907053207,0.015988588333129883
16,"['100', '10', '3', '20', '50']",dg102.tpf,HS,100,10,3,20,50,1,102,247,8,3,1,2.212121212121212,3,1,2.1717171717171717,0.2,37.254901960784316,140,70,2264,274.0131907053207,0.00803828239440918
