batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
"['80', '20', '3', '20', '25', '2']",dg1.tpf,SAA,80,20,3,20,25,2,82,191,8,3,1,2.1392405063291138,3,1,2.1392405063291138,0.2,19.51219512195122,183,61,2752,326.75391247911904,0.016882658004760742
"['80', '20', '3', '20', '25', '2']",dg1.tpf,HS,80,20,3,20,25,2,82,191,8,3,1,2.1392405063291138,3,1,2.1392405063291138,0.2,19.51219512195122,183,61,1617,326.75391247911904,0.0
"['80', '20', '3', '20', '25', '2']",dg1.tpf,RS,80,20,3,20,25,2,82,191,8,3,1,2.1392405063291138,3,1,2.1392405063291138,0.2,19.51219512195122,183,61,2833,326.75391247911904,0.019451618194580078
"['80', '20', '3', '20', '25', '2']",dg10.tpf,SAA,80,20,3,20,25,2,82,195,8,3,1,2.2151898734177213,3,1,2.189873417721519,0.2,18.29268292682927,186,62,628,278.1103650456809,0.0071048736572265625
"['80', '20', '3', '20', '25', '2']",dg10.tpf,HS,80,20,3,20,25,2,82,195,8,3,1,2.2151898734177213,3,1,2.189873417721519,0.2,18.29268292682927,186,62,335,278.1103650456809,0.0
"['80', '20', '3', '20', '25', '2']",dg10.tpf,RS,80,20,3,20,25,2,82,195,8,3,1,2.2151898734177213,3,1,2.189873417721519,0.2,18.29268292682927,186,62,1901,270.68595957725495,0.01685166358947754
"['80', '20', '3', '20', '25', '2']",dg100.tpf,SAA,80,20,3,20,25,2,82,197,8,3,1,2.2531645569620253,3,1,2.2531645569620253,0.2,30.48780487804878,282,94,2751,119.67647169422543,0.015989303588867188
"['80', '20', '3', '20', '25', '2']",dg100.tpf,HS,80,20,3,20,25,2,82,197,8,3,1,2.2531645569620253,3,1,2.2531645569620253,0.2,30.48780487804878,282,94,1593,119.67647169422543,0.007757663726806641
"['80', '20', '3', '20', '25', '2']",dg100.tpf,RS,80,20,3,20,25,2,82,197,8,3,1,2.2531645569620253,3,1,2.2531645569620253,0.2,30.48780487804878,282,94,3509,119.67647169422543,0.01764988899230957
"['80', '20', '3', '20', '25', '2']",dg11.tpf,SAA,80,20,3,20,25,2,82,195,9,3,1,2.2278481012658227,3,1,2.189873417721519,0.2,18.29268292682927,270,90,1885,300.83683854921486,0.015382528305053711
"['80', '20', '3', '20', '25', '2']",dg11.tpf,HS,80,20,3,20,25,2,82,195,9,3,1,2.2278481012658227,3,1,2.189873417721519,0.2,18.29268292682927,270,90,992,300.83683854921486,0.0
"['80', '20', '3', '20', '25', '2']",dg11.tpf,RS,80,20,3,20,25,2,82,195,9,3,1,2.2278481012658227,3,1,2.189873417721519,0.2,18.29268292682927,270,90,1928,300.83683854921486,0.008007049560546875
"['80', '20', '3', '20', '25', '2']",dg12.tpf,SAA,80,20,3,20,25,2,82,196,8,3,1,2.2151898734177213,3,1,2.240506329113924,0.2,24.390243902439025,198,66,2621,172.6165129461434,0.013388633728027344
"['80', '20', '3', '20', '25', '2']",dg12.tpf,HS,80,20,3,20,25,2,82,196,8,3,1,2.2151898734177213,3,1,2.240506329113924,0.2,24.390243902439025,198,66,1324,172.6165129461434,0.008334159851074219
"['80', '20', '3', '20', '25', '2']",dg12.tpf,RS,80,20,3,20,25,2,82,196,8,3,1,2.2151898734177213,3,1,2.240506329113924,0.2,24.390243902439025,198,66,1472,172.6165129461434,0.00865626335144043
"['80', '20', '3', '20', '25', '2']",dg13.tpf,SAA,80,20,3,20,25,2,82,197,8,3,1,2.2151898734177213,3,1,2.2278481012658227,0.2,29.268292682926827,255,85,3770,221.93691119558224,0.026491165161132812
"['80', '20', '3', '20', '25', '2']",dg13.tpf,HS,80,20,3,20,25,2,82,197,8,3,1,2.2151898734177213,3,1,2.2278481012658227,0.2,29.268292682926827,255,85,2234,221.93691119558224,0.007993698120117188
"['80', '20', '3', '20', '25', '2']",dg13.tpf,RS,80,20,3,20,25,2,82,197,8,3,1,2.2151898734177213,3,1,2.2278481012658227,0.2,29.268292682926827,255,85,5957,221.93691119558224,0.03269219398498535
"['80', '20', '3', '20', '25', '2']",dg14.tpf,SAA,80,20,3,20,25,2,82,194,8,3,1,2.1645569620253164,3,1,2.2151898734177213,0.2,24.390243902439025,201,67,1736,229.05164415404576,0.014722824096679688
"['80', '20', '3', '20', '25', '2']",dg14.tpf,HS,80,20,3,20,25,2,82,194,8,3,1,2.1645569620253164,3,1,2.2151898734177213,0.2,24.390243902439025,201,67,1216,229.05164415404576,0.0
"['80', '20', '3', '20', '25', '2']",dg14.tpf,RS,80,20,3,20,25,2,82,194,8,3,1,2.1645569620253164,3,1,2.2151898734177213,0.2,24.390243902439025,201,67,3935,229.05164415404576,0.01727151870727539
"['80', '20', '3', '20', '25', '2']",dg15.tpf,SAA,80,20,3,20,25,2,82,189,9,3,1,2.1012658227848102,3,1,2.0759493670886076,0.2,23.170731707317074,249,83,1982,252.13108154864176,0.007992744445800781
"['80', '20', '3', '20', '25', '2']",dg15.tpf,HS,80,20,3,20,25,2,82,189,9,3,1,2.1012658227848102,3,1,2.0759493670886076,0.2,23.170731707317074,249,83,1134,252.13108154864176,0.006697893142700195
"['80', '20', '3', '20', '25', '2']",dg15.tpf,RS,80,20,3,20,25,2,82,189,9,3,1,2.1012658227848102,3,1,2.0759493670886076,0.2,23.170731707317074,249,83,5305,252.13108154864176,0.017421245574951172
"['80', '20', '3', '20', '25', '2']",dg16.tpf,SAA,80,20,3,20,25,2,82,191,8,3,1,2.1645569620253164,3,1,2.1645569620253164,0.2,35.36585365853659,195,65,2987,134.90091742695304,0.02078866958618164
"['80', '20', '3', '20', '25', '2']",dg16.tpf,HS,80,20,3,20,25,2,82,191,8,3,1,2.1645569620253164,3,1,2.1645569620253164,0.2,35.36585365853659,195,65,2182,134.90091742695304,0.01577305793762207
"['80', '20', '3', '20', '25', '2']",dg16.tpf,RS,80,20,3,20,25,2,82,191,8,3,1,2.1645569620253164,3,1,2.1645569620253164,0.2,35.36585365853659,195,65,15211,134.90091742695304,0.08969354629516602
"['80', '20', '3', '20', '25', '2']",dg17.tpf,SAA,80,20,3,20,25,2,82,192,10,3,1,2.1772151898734178,3,1,2.189873417721519,0.2,31.70731707317073,237,79,3232,204.7854708014839,0.018961668014526367
