batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
"['160', '5', '2', '10', '0', '1']",dg1.tpf,SAA,160,5,2,10,0,1,162,301,9,2,1,1.559748427672956,2,1,1.5157232704402517,0.1,0.0,86,43,302,2202.298577881119,0.013686656951904297
"['160', '5', '2', '10', '0', '1']",dg1.tpf,HS,160,5,2,10,0,1,162,301,9,2,1,1.559748427672956,2,1,1.5157232704402517,0.1,0.0,86,43,162,2202.298577881119,0.0
"['160', '5', '2', '10', '0', '1']",dg10.tpf,SAA,160,5,2,10,0,1,162,305,7,2,1,1.5408805031446542,2,1,1.5660377358490567,0.1,0.0,74,37,287,1882.4655165904146,0.0
"['160', '5', '2', '10', '0', '1']",dg10.tpf,HS,160,5,2,10,0,1,162,305,7,2,1,1.5408805031446542,2,1,1.5660377358490567,0.1,0.0,74,37,162,1882.4655165904146,0.0
"['160', '5', '2', '10', '0', '1']",dg11.tpf,SAA,160,5,2,10,0,1,162,304,8,2,1,1.559748427672956,2,1,1.578616352201258,0.1,0.0,90,45,300,2040.2728101383975,0.008955955505371094
"['160', '5', '2', '10', '0', '1']",dg11.tpf,HS,160,5,2,10,0,1,162,304,8,2,1,1.559748427672956,2,1,1.578616352201258,0.1,0.0,90,45,162,2040.2728101383975,0.01820826530456543
"['160', '5', '2', '10', '0', '1']",dg12.tpf,SAA,160,5,2,10,0,1,162,300,8,2,1,1.5471698113207548,2,1,1.5471698113207548,0.1,0.0,88,44,295,1964.9304677389523,0.0
"['160', '5', '2', '10', '0', '1']",dg12.tpf,HS,160,5,2,10,0,1,162,300,8,2,1,1.5471698113207548,2,1,1.5471698113207548,0.1,0.0,88,44,162,1964.9304677389523,0.0
"['160', '5', '2', '10', '0', '1']",dg13.tpf,SAA,160,5,2,10,0,1,162,298,7,2,1,1.528301886792453,2,1,1.5408805031446542,0.1,0.0,82,41,316,2222.554087364054,0.0
"['160', '5', '2', '10', '0', '1']",dg13.tpf,HS,160,5,2,10,0,1,162,298,7,2,1,1.528301886792453,2,1,1.5408805031446542,0.1,0.0,82,41,162,2222.554087364054,0.0
"['160', '5', '2', '10', '0', '1']",dg14.tpf,SAA,160,5,2,10,0,1,162,296,9,2,1,1.5220125786163523,2,1,1.4968553459119496,0.1,0.0,86,43,302,2169.9713184774514,0.003027677536010742
"['160', '5', '2', '10', '0', '1']",dg14.tpf,HS,160,5,2,10,0,1,162,296,9,2,1,1.5220125786163523,2,1,1.4968553459119496,0.1,0.0,86,43,162,2169.9713184774514,0.0
"['160', '5', '2', '10', '0', '1']",dg15.tpf,SAA,160,5,2,10,0,1,162,296,8,2,1,1.490566037735849,2,1,1.4842767295597483,0.1,0.0,86,43,295,2175.3663896354387,0.015624761581420898
"['160', '5', '2', '10', '0', '1']",dg15.tpf,HS,160,5,2,10,0,1,162,296,8,2,1,1.490566037735849,2,1,1.4842767295597483,0.1,0.0,86,43,162,2175.3663896354387,0.0
"['160', '5', '2', '10', '0', '1']",dg16.tpf,SAA,160,5,2,10,0,1,162,304,7,2,1,1.5471698113207548,2,1,1.5534591194968554,0.1,0.0,88,44,288,2086.386806239059,0.0
"['160', '5', '2', '10', '0', '1']",dg16.tpf,HS,160,5,2,10,0,1,162,304,7,2,1,1.5471698113207548,2,1,1.5534591194968554,0.1,0.0,88,44,162,2086.386806239059,0.0
"['160', '5', '2', '10', '0', '1']",dg17.tpf,SAA,160,5,2,10,0,1,162,298,7,2,1,1.5031446540880504,2,1,1.5157232704402517,0.1,0.0,76,38,299,1885.9697665023268,0.0
"['160', '5', '2', '10', '0', '1']",dg17.tpf,HS,160,5,2,10,0,1,162,298,7,2,1,1.5031446540880504,2,1,1.5157232704402517,0.1,0.0,76,38,162,1885.9697665023268,0.0
"['160', '5', '2', '10', '0', '1']",dg18.tpf,SAA,160,5,2,10,0,1,162,296,9,2,1,1.490566037735849,2,1,1.5031446540880504,0.1,0.0,88,44,299,1979.416914723816,0.0
"['160', '5', '2', '10', '0', '1']",dg18.tpf,HS,160,5,2,10,0,1,162,296,9,2,1,1.490566037735849,2,1,1.5031446540880504,0.1,0.0,88,44,162,1979.416914723816,0.0
"['160', '5', '2', '10', '0', '1']",dg19.tpf,SAA,160,5,2,10,0,1,162,305,8,2,1,1.5723270440251573,2,1,1.578616352201258,0.1,0.0,86,43,302,2236.0834745068387,0.0
"['160', '5', '2', '10', '0', '1']",dg19.tpf,HS,160,5,2,10,0,1,162,305,8,2,1,1.5723270440251573,2,1,1.578616352201258,0.1,0.0,86,43,162,2236.0834745068387,0.0
"['160', '5', '2', '10', '0', '1']",dg2.tpf,SAA,160,5,2,10,0,1,162,297,8,2,1,1.5220125786163523,2,1,1.528301886792453,0.1,0.0,92,46,302,2082.142974188611,0.00603175163269043
"['160', '5', '2', '10', '0', '1']",dg2.tpf,HS,160,5,2,10,0,1,162,297,8,2,1,1.5220125786163523,2,1,1.528301886792453,0.1,0.0,92,46,162,2082.142974188611,0.0
"['160', '5', '2', '10', '0', '1']",dg20.tpf,SAA,160,5,2,10,0,1,162,303,8,2,1,1.5408805031446542,2,1,1.5660377358490567,0.1,0.0,88,44,304,2044.9734263075543,0.0
"['160', '5', '2', '10', '0', '1']",dg20.tpf,HS,160,5,2,10,0,1,162,303,8,2,1,1.5408805031446542,2,1,1.5660377358490567,0.1,0.0,88,44,162,2044.9734263075543,0.0
"['160', '5', '2', '10', '0', '1']",dg21.tpf,SAA,160,5,2,10,0,1,162,299,8,2,1,1.5723270440251573,2,1,1.528301886792453,0.1,0.0,82,41,312,1993.5507101038154,0.0
"['160', '5', '2', '10', '0', '1']",dg21.tpf,HS,160,5,2,10,0,1,162,299,8,2,1,1.5723270440251573,2,1,1.528301886792453,0.1,0.0,82,41,162,1993.5507101038154,0.0
"['160', '5', '2', '10', '0', '1']",dg22.tpf,SAA,160,5,2,10,0,1,162,304,7,2,1,1.559748427672956,2,1,1.5408805031446542,0.1,0.0,78,39,294,1932.2686497514253,0.0033638477325439453
"['160', '5', '2', '10', '0', '1']",dg22.tpf,HS,160,5,2,10,0,1,162,304,7,2,1,1.559748427672956,2,1,1.5408805031446542,0.1,0.0,78,39,162,1932.2686497514253,0.0
"['160', '5', '2', '10', '0', '1']",dg23.tpf,SAA,160,5,2,10,0,1,162,305,8,2,1,1.578616352201258,2,1,1.559748427672956,0.1,0.0,86,43,307,2137.498399784739,0.016756534576416016
"['160', '5', '2', '10', '0', '1']",dg23.tpf,HS,160,5,2,10,0,1,162,305,8,2,1,1.578616352201258,2,1,1.559748427672956,0.1,0.0,86,43,162,2137.498399784739,0.0
"['160', '5', '2', '10', '0', '1']",dg24.tpf,SAA,160,5,2,10,0,1,162,305,8,2,1,1.5471698113207548,2,1,1.5345911949685536,0.1,0.0,80,40,285,2083.6097032736716,0.0
"['160', '5', '2', '10', '0', '1']",dg24.tpf,HS,160,5,2,10,0,1,162,305,8,2,1,1.5471698113207548,2,1,1.5345911949685536,0.1,0.0,80,40,162,2083.6097032736716,0.0
"['160', '5', '2', '10', '0', '1']",dg25.tpf,SAA,160,5,2,10,0,1,162,304,7,2,1,1.5345911949685536,2,1,1.559748427672956,0.1,0.0,82,41,296,1931.141532916383,0.009209871292114258
"['160', '5', '2', '10', '0', '1']",dg25.tpf,HS,160,5,2,10,0,1,162,304,7,2,1,1.5345911949685536,2,1,1.559748427672956,0.1,0.0,82,41,162,1931.141532916383,0.0
"['160', '5', '2', '10', '0', '1']",dg26.tpf,SAA,160,5,2,10,0,1,162,297,7,2,1,1.5031446540880504,2,1,1.5031446540880504,0.1,0.0,82,41,293,2185.658016031177,0.03354692459106445
