batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
"['40', '5', '2', '10', '0', '1']",dg1.tpf,SAA,40,5,2,10,0,1,42,78,7,2,1,1.6153846153846154,2,1,1.6153846153846154,0.1,0.0,88,44,79,460.4742204910066,0.0
"['40', '5', '2', '10', '0', '1']",dg1.tpf,HS,40,5,2,10,0,1,42,78,7,2,1,1.6153846153846154,2,1,1.6153846153846154,0.1,0.0,88,44,42,460.4742204910066,0.0
"['40', '5', '2', '10', '0', '1']",dg1.tpf,RS,40,5,2,10,0,1,42,78,7,2,1,1.6153846153846154,2,1,1.6153846153846154,0.1,0.0,88,44,42,460.4742204910066,0.0
"['40', '5', '2', '10', '0', '1']",dg10.tpf,SAA,40,5,2,10,0,1,42,75,7,2,1,1.4871794871794872,2,1,1.5897435897435896,0.1,0.0,74,37,83,487.69420378348264,0.0
"['40', '5', '2', '10', '0', '1']",dg10.tpf,HS,40,5,2,10,0,1,42,75,7,2,1,1.4871794871794872,2,1,1.5897435897435896,0.1,0.0,74,37,42,487.69420378348264,0.0
"['40', '5', '2', '10', '0', '1']",dg10.tpf,RS,40,5,2,10,0,1,42,75,7,2,1,1.4871794871794872,2,1,1.5897435897435896,0.1,0.0,74,37,42,487.69420378348264,0.0
"['40', '5', '2', '10', '0', '1']",dg11.tpf,SAA,40,5,2,10,0,1,42,76,7,2,1,1.4615384615384615,2,1,1.5128205128205128,0.1,0.0,72,36,78,541.2221447965138,0.0
"['40', '5', '2', '10', '0', '1']",dg11.tpf,HS,40,5,2,10,0,1,42,76,7,2,1,1.4615384615384615,2,1,1.5128205128205128,0.1,0.0,72,36,42,541.2221447965138,0.0
"['40', '5', '2', '10', '0', '1']",dg11.tpf,RS,40,5,2,10,0,1,42,76,7,2,1,1.4615384615384615,2,1,1.5128205128205128,0.1,0.0,72,36,42,541.2221447965138,0.0
"['40', '5', '2', '10', '0', '1']",dg12.tpf,SAA,40,5,2,10,0,1,42,76,7,2,1,1.4615384615384615,2,1,1.4871794871794872,0.1,0.0,82,41,74,578.480547523692,0.0
