batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,1.tpf,SAA,37,10,2,10.0,22.0,2.0,37,66,8,2,1,1.5588235294117647,2,1,1.5588235294117647,0.1,32.432432432432435,105,35,679,271.58380207782363,0.002565622329711914
Random,1.tpf,HS,37,10,2,10.0,22.0,2.0,37,66,8,2,1,1.5588235294117647,2,1,1.5588235294117647,0.1,32.432432432432435,105,35,225,271.58380207782363,0.0
Random,1.tpf,RS,37,10,2,10.0,22.0,2.0,37,66,8,2,1,1.5588235294117647,2,1,1.5588235294117647,0.1,32.432432432432435,105,35,504,271.58380207782363,0.005556821823120117
Random,10.tpf,SAA,66,15,3,5.0,39.0,2.0,66,150,9,3,1,2.0634920634920637,3,1,2.111111111111111,0.05,45.45454545454545,219,73,4412,190.70698798593745,0.017338275909423828
Random,10.tpf,HS,66,15,3,5.0,39.0,2.0,66,150,9,3,1,2.0634920634920637,3,1,2.111111111111111,0.05,45.45454545454545,219,73,1220,190.70698798593745,0.008345365524291992
Random,10.tpf,RS,66,15,3,5.0,39.0,2.0,66,150,9,3,1,2.0634920634920637,3,1,2.111111111111111,0.05,45.45454545454545,219,73,2455,190.70698798593745,0.009098291397094727
Random,100.tpf,SAA,70,5,1,43.0,60.0,1.5,70,96,9,1,1,1.0,1,1,1.0,0.43,54.285714285714285,95,38,2149,54.69595214500217,0.012688159942626953
Random,100.tpf,HS,70,5,1,43.0,60.0,1.5,70,96,9,1,1,1.0,1,1,1.0,0.43,54.285714285714285,95,38,1032,54.69595214500217,0.0
Random,100.tpf,RS,70,5,1,43.0,60.0,1.5,70,96,9,1,1,1.0,1,1,1.0,0.43,54.285714285714285,95,38,1716,54.69595214500217,0.009056568145751953
Random,1000.tpf,SAA,20,2,2,17.0,37.0,1.0,20,36,5,2,1,1.3529411764705883,2,1,1.411764705882353,0.17,45.0,40,20,307,103.56953412002707,0.0010325908660888672
Random,1000.tpf,HS,20,2,2,17.0,37.0,1.0,20,36,5,2,1,1.3529411764705883,2,1,1.411764705882353,0.17,45.0,40,20,139,103.56953412002707,0.0013804435729980469
Random,1000.tpf,RS,20,2,2,17.0,37.0,1.0,20,36,5,2,1,1.3529411764705883,2,1,1.411764705882353,0.17,45.0,40,20,165,103.56953412002707,0.0
Random,1001.tpf,SAA,24,4,2,11.0,5.0,2.0,24,42,7,2,1,1.5238095238095237,2,1,1.5238095238095237,0.11,4.166666666666666,111,37,129,222.76029930068557,0.0
Random,1001.tpf,HS,24,4,2,11.0,5.0,2.0,24,42,7,2,1,1.5238095238095237,2,1,1.5238095238095237,0.11,4.166666666666666,111,37,24,222.76029930068557,0.0
Random,1001.tpf,RS,24,4,2,11.0,5.0,2.0,24,42,7,2,1,1.5238095238095237,2,1,1.5238095238095237,0.11,4.166666666666666,111,37,24,222.76029930068557,0.0
Random,1002.tpf,SAA,63,12,3,0.0,87.0,1.0,63,143,8,3,1,2.1166666666666667,3,1,2.15,0.0,82.53968253968253,124,62,4450,-905.0,0.03311777114868164
Random,1002.tpf,HS,63,12,3,0.0,87.0,1.0,63,143,8,3,1,2.1166666666666667,3,1,2.15,0.0,82.53968253968253,124,62,2691,-905.0,0.014446496963500977
Random,1002.tpf,RS,63,12,3,0.0,87.0,1.0,63,143,8,3,1,2.1166666666666667,3,1,2.15,0.0,82.53968253968253,124,62,19620,-905.0,0.22170782089233398
Random,1004.tpf,SAA,65,12,1,9.0,50.0,1.5,65,86,9,1,1,1.0,1,1,1.0,0.09,36.92307692307693,90,36,2556,501.5845099771942,0.023989200592041016
Random,1004.tpf,HS,65,12,1,9.0,50.0,1.5,65,86,9,1,1,1.0,1,1,1.0,0.09,36.92307692307693,90,36,452,501.5845099771942,0.0
Random,1004.tpf,RS,65,12,1,9.0,50.0,1.5,65,86,9,1,1,1.0,1,1,1.0,0.09,36.92307692307693,90,31,849,501.5845099771942,0.007993221282958984
Random,1005.tpf,SAA,65,2,2,33.0,19.0,2.0,65,121,5,2,1,1.3064516129032258,2,1,1.4193548387096775,0.33,16.923076923076923,60,20,2881,174.5516898721546,0.01995992660522461
Random,1005.tpf,HS,65,2,2,33.0,19.0,2.0,65,121,5,2,1,1.3064516129032258,2,1,1.4193548387096775,0.33,16.923076923076923,60,20,433,174.5516898721546,0.0
Random,1005.tpf,RS,65,2,2,33.0,19.0,2.0,65,121,5,2,1,1.3064516129032258,2,1,1.4193548387096775,0.33,16.923076923076923,60,20,687,174.5516898721546,0.003994464874267578
Random,1006.tpf,SAA,45,4,1,49.0,95.0,2.0,45,62,7,1,1,1.0,1,1,1.0,0.49,84.44444444444444,75,25,1425,0.7601882602800525,0.00800633430480957
Random,1006.tpf,HS,45,4,1,49.0,95.0,2.0,45,62,7,1,1,1.0,1,1,1.0,0.49,84.44444444444444,75,25,952,0.7601882602800525,0.008038043975830078
