batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,1.tpf,SAA,61,8,2,13.0,53.0,1.0,61,112,7,2,1,1.5172413793103448,2,1,1.5344827586206897,0.13,52.459016393442624,96,48,2573,308.4869597319683,0.017497539520263672
Random,1.tpf,HS,61,8,2,13.0,53.0,1.0,61,112,7,2,1,1.5172413793103448,2,1,1.5344827586206897,0.13,52.459016393442624,96,48,957,308.4869597319683,0.010555267333984375
Random,10.tpf,SAA,73,40,3,18.0,40.0,1.0,73,171,7,3,1,2.1714285714285713,3,1,2.2,0.18,39.726027397260275,154,77,6155,192.14340283337305,0.034918785095214844
Random,10.tpf,HS,73,40,3,18.0,40.0,1.0,73,171,7,3,1,2.1714285714285713,3,1,2.2,0.18,39.726027397260275,154,77,1886,192.14340283337305,0.01778244972229004
Random,100.tpf,SAA,59,26,2,13.0,74.0,1.0,59,105,9,2,1,1.5357142857142858,2,1,1.5892857142857142,0.13,74.57627118644068,120,60,2713,67.91207208357213,0.016452789306640625
Random,100.tpf,HS,59,26,2,13.0,74.0,1.0,59,105,9,2,1,1.5357142857142858,2,1,1.5892857142857142,0.13,74.57627118644068,120,60,1813,67.91207208357213,0.009093761444091797
Random,1000.tpf,SAA,28,12,3,13.0,56.0,2.0,28,61,8,3,1,2.12,3,1,2.08,0.13,60.71428571428571,150,50,532,82.23954628489828,0.0009984970092773438
Random,1000.tpf,HS,28,12,3,13.0,56.0,2.0,28,61,8,3,1,2.12,3,1,2.08,0.13,60.71428571428571,150,50,364,82.23954628489828,0.0
Random,101.tpf,SAA,82,78,2,3.0,35.0,1.0,82,148,8,2,1,1.5443037974683544,2,1,1.6075949367088607,0.03,31.70731707317073,114,57,4404,1219.3934957970052,0.01698446273803711
Random,101.tpf,HS,82,78,2,3.0,35.0,1.0,82,148,8,2,1,1.5443037974683544,2,1,1.6075949367088607,0.03,31.70731707317073,114,57,504,1219.3934957970052,0.0
Random,102.tpf,SAA,71,41,2,4.0,30.0,1.0,71,127,9,2,1,1.588235294117647,2,1,1.5588235294117647,0.04,28.169014084507044,102,51,3418,841.0779925813249,0.009129524230957031
Random,102.tpf,HS,71,41,2,4.0,30.0,1.0,71,127,9,2,1,1.588235294117647,2,1,1.5588235294117647,0.04,28.169014084507044,102,51,331,841.0779925813249,0.0
Random,103.tpf,SAA,26,17,2,18.0,61.0,1.0,26,47,8,2,1,1.565217391304348,2,1,1.608695652173913,0.18,57.692307692307686,116,58,541,76.50197777672362,0.0
Random,103.tpf,HS,26,17,2,18.0,61.0,1.0,26,47,8,2,1,1.565217391304348,2,1,1.608695652173913,0.18,57.692307692307686,116,58,280,76.50197777672362,0.0
Random,104.tpf,SAA,21,5,3,0.0,59.0,1.0,21,43,7,3,1,1.8888888888888888,3,1,1.9444444444444444,0.0,61.904761904761905,68,34,272,66.0,0.001001119613647461
Random,104.tpf,HS,21,5,3,0.0,59.0,1.0,21,43,7,3,1,1.8888888888888888,3,1,1.9444444444444444,0.0,61.904761904761905,68,34,162,66.0,0.013422489166259766
Random,105.tpf,SAA,42,19,2,14.0,64.0,1.0,42,72,9,2,1,1.5384615384615385,2,1,1.5384615384615385,0.14,59.523809523809526,106,53,1223,78.2854139457625,0.0
Random,105.tpf,HS,42,19,2,14.0,64.0,1.0,42,72,9,2,1,1.5384615384615385,2,1,1.5384615384615385,0.14,59.523809523809526,106,53,729,78.2854139457625,0.0
