batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,1.tpf,SAA,262,177,3,1.0,36.0,1.0,262,626,10,3,1,2.1776061776061777,3,1,2.1969111969111967,0.01,35.49618320610687,218,109,34604,4884.002279403721,0.11582803726196289
Random,1.tpf,HS,262,177,3,1.0,36.0,1.0,262,626,10,3,1,2.1776061776061777,3,1,2.1969111969111967,0.01,35.49618320610687,218,109,2720,4884.002279403721,0.02389812469482422
Random,10.tpf,SAA,266,167,2,2.0,29.0,1.0,266,491,11,2,1,1.6045627376425855,2,1,1.6045627376425855,0.02,29.69924812030075,206,103,48151,4492.981904653969,0.11589908599853516
Random,10.tpf,HS,266,167,2,2.0,29.0,1.0,266,491,11,2,1,1.6045627376425855,2,1,1.6045627376425855,0.02,29.69924812030075,206,103,2236,4492.981904653969,0.015665531158447266
Random,100.tpf,SAA,106,32,3,12.0,14.0,1.0,106,248,11,3,1,2.1262135922330097,3,1,2.1844660194174756,0.12,13.20754716981132,226,113,33769,472.13632510788597,0.09670448303222656
Random,100.tpf,HS,106,32,3,12.0,14.0,1.0,106,248,11,3,1,2.1262135922330097,3,1,2.1844660194174756,0.12,13.20754716981132,226,113,3754,472.13632510788597,0.01495814323425293
Random,1000.tpf,SAA,66,45,2,5.0,87.0,1.0,66,118,9,2,1,1.5714285714285714,2,1,1.619047619047619,0.05,83.33333333333334,142,71,3510,166.69488789943492,0.009029865264892578
Random,1000.tpf,HS,66,45,2,5.0,87.0,1.0,66,118,9,2,1,1.5714285714285714,2,1,1.619047619047619,0.05,83.33333333333334,142,71,2546,166.69488789943492,0.01562952995300293
Random,101.tpf,SAA,165,50,2,6.0,53.0,2.0,165,301,10,2,1,1.5679012345679013,2,1,1.6111111111111112,0.06,59.3939393939394,210,70,25474,607.4072501028812,0.08425545692443848
Random,101.tpf,HS,165,50,2,6.0,53.0,2.0,165,301,10,2,1,1.5679012345679013,2,1,1.6111111111111112,0.06,59.3939393939394,210,70,5873,607.4072501028812,0.015619516372680664
Random,102.tpf,SAA,252,24,3,4.0,29.0,2.0,252,609,9,3,1,2.2008032128514055,3,1,2.208835341365462,0.04,28.57142857142857,255,85,63336,2330.521169705805,0.18486762046813965
Random,102.tpf,HS,252,24,3,4.0,29.0,2.0,252,609,9,3,1,2.2008032128514055,3,1,2.208835341365462,0.04,28.57142857142857,255,85,4447,2330.521169705805,0.020906686782836914
Random,103.tpf,SAA,296,168,3,15.0,63.0,1.0,296,710,10,3,1,2.2150170648464163,3,1,2.2081911262798637,0.15,64.86486486486487,212,106,117626,441.2063130899421,0.3648035526275635
Random,103.tpf,HS,296,168,3,15.0,63.0,1.0,296,710,10,3,1,2.2150170648464163,3,1,2.2081911262798637,0.15,64.86486486486487,212,106,49166,441.2063130899421,0.1922447681427002
Random,104.tpf,SAA,39,13,2,20.0,23.0,1.0,39,70,8,2,1,1.5277777777777777,2,1,1.6111111111111112,0.2,25.64102564102564,102,51,1296,94.46102229302517,0.0
Random,104.tpf,HS,39,13,2,20.0,23.0,1.0,39,70,8,2,1,1.5277777777777777,2,1,1.6111111111111112,0.2,25.64102564102564,102,51,415,94.46102229302517,0.0
Random,105.tpf,SAA,164,145,2,12.0,85.0,1.0,164,299,10,2,1,1.608695652173913,2,1,1.6149068322981366,0.12,89.63414634146342,122,61,23290,123.964616649251,0.06899523735046387
Random,105.tpf,HS,164,145,2,12.0,85.0,1.0,164,299,10,2,1,1.608695652173913,2,1,1.6149068322981366,0.12,89.63414634146342,122,61,17576,123.964616649251,0.07806944847106934
Random,106.tpf,SAA,303,211,3,6.0,23.0,2.0,303,728,9,3,1,2.1766666666666667,3,1,2.216666666666667,0.06,25.742574257425744,285,95,98220,2230.6182175039394,0.26872777938842773
Random,106.tpf,HS,303,211,3,6.0,23.0,2.0,303,728,9,3,1,2.1766666666666667,3,1,2.216666666666667,0.06,25.742574257425744,285,95,5316,2230.6182175039394,0.03194904327392578
Random,107.tpf,SAA,273,64,2,6.0,77.0,2.0,273,509,9,2,1,1.6074074074074074,2,1,1.6037037037037036,0.06,77.65567765567766,207,69,52962,628.131994691419,0.1692638397216797
Random,107.tpf,HS,273,64,2,6.0,77.0,2.0,273,509,9,2,1,1.6074074074074074,2,1,1.6037037037037036,0.06,77.65567765567766,207,69,30732,628.131994691419,0.12960124015808105
Random,108.tpf,SAA,38,32,3,7.0,70.0,2.0,38,91,7,3,1,2.2857142857142856,3,1,2.342857142857143,0.07,71.05263157894737,225,75,1302,76.69336952659387,0.015651464462280273
Random,108.tpf,HS,38,32,3,7.0,70.0,2.0,38,91,7,3,1,2.2857142857142856,3,1,2.342857142857143,0.07,71.05263157894737,225,75,909,76.69336952659387,0.015628814697265625
Random,109.tpf,SAA,71,33,2,3.0,88.0,2.0,71,128,9,2,1,1.5735294117647058,2,1,1.588235294117647,0.03,83.09859154929578,174,58,3781,253.675889716526,0.01558232307434082
Random,109.tpf,HS,71,33,2,3.0,88.0,2.0,71,128,9,2,1,1.5735294117647058,2,1,1.588235294117647,0.03,83.09859154929578,174,58,2374,253.675889716526,0.0
Random,11.tpf,SAA,78,47,3,14.0,55.0,1.0,78,185,10,3,1,2.2266666666666666,3,1,2.2133333333333334,0.14,50.0,178,89,5914,210.09285680667818,0.015619277954101562
Random,11.tpf,HS,78,47,3,14.0,55.0,1.0,78,185,10,3,1,2.2266666666666666,3,1,2.2133333333333334,0.14,50.0,178,89,2742,210.09285680667818,0.006507158279418945
Random,110.tpf,SAA,147,94,3,0.0,55.0,1.0,147,345,9,3,1,2.1597222222222223,3,1,2.1527777777777777,0.0,57.14285714285714,164,82,43043,682.0,0.1315135955810547
Random,110.tpf,HS,147,94,3,0.0,55.0,1.0,147,345,9,3,1,2.1597222222222223,3,1,2.1527777777777777,0.0,57.14285714285714,164,82,8854,682.0,0.03128218650817871
Random,111.tpf,SAA,270,179,2,20.0,33.0,1.0,270,495,10,2,1,1.5880149812734083,2,1,1.5692883895131087,0.2,35.92592592592593,136,68,49563,828.5118283644983,0.13967537879943848
Random,111.tpf,HS,270,179,2,20.0,33.0,1.0,270,495,10,2,1,1.5880149812734083,2,1,1.5692883895131087,0.2,35.92592592592593,136,68,9010,828.5118283644983,0.03127408027648926
