batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,dg01_19_28.tpf,SAA,19,6,CACULATED_DEGREE,9.0,88.0,E2,19,29,9,10,1,1.5625,11,1,1.625,0.09,73.68421052631578,2000,37,280,-4.193831680934432e-73,0.0
Random,dg01_19_28.tpf,HS,19,6,CACULATED_DEGREE,9.0,88.0,E2,19,29,9,10,1,1.5625,11,1,1.625,0.09,73.68421052631578,2000,37,204,-4.193831680934432e-73,0.0
Random,dg01_19_28.tpf,RS,19,6,CACULATED_DEGREE,9.0,88.0,E2,19,29,9,10,1,1.5625,11,1,1.625,0.09,73.68421052631578,2000,32,726,-4.193831680934432e-73,0.0
Random,dg02_37_55.tpf,SAA,37,17,CACULATED_DEGREE,2.0,69.0,E1,37,56,18,7,1,1.5,5,1,1.5588235294117647,0.02,62.16216216216216,1000,106,1154,7.550540134074136,0.0
Random,dg02_37_55.tpf,HS,37,17,CACULATED_DEGREE,2.0,69.0,E1,37,56,18,7,1,1.5,5,1,1.5588235294117647,0.02,62.16216216216216,1000,106,440,7.550540134074136,0.015622377395629883
Random,dg02_37_55.tpf,RS,37,17,CACULATED_DEGREE,2.0,69.0,E1,37,56,18,7,1,1.5,5,1,1.5588235294117647,0.02,62.16216216216216,1000,105,3501,7.550540134074136,0.032863616943359375
Random,dg03_65_134.tpf,SAA,65,49,CACULATED_DEGREE,7.0,44.0,E1,65,135,16,7,1,2.1129032258064515,6,1,2.129032258064516,0.07,44.61538461538462,1000,166,2977,5.386896758275015,0.0011017322540283203
Random,dg03_65_134.tpf,HS,65,49,CACULATED_DEGREE,7.0,44.0,E1,65,135,16,7,1,2.1129032258064515,6,1,2.129032258064516,0.07,44.61538461538462,1000,166,1202,5.386896758275015,0.015621423721313477
Random,dg03_65_134.tpf,RS,65,49,CACULATED_DEGREE,7.0,44.0,E1,65,135,16,7,1,2.1129032258064515,6,1,2.129032258064516,0.07,44.61538461538462,1000,158,13237,5.386896758275015,0.09064054489135742
Random,dg04_64_123.tpf,SAA,64,33,CACULATED_DEGREE,3.0,1.0,E2,64,124,17,6,1,1.9508196721311475,18,1,1.9836065573770492,0.03,1.5625,2000,118,2578,131.78979629430864,0.012030601501464844
Random,dg04_64_123.tpf,HS,64,33,CACULATED_DEGREE,3.0,1.0,E2,64,124,17,6,1,1.9508196721311475,18,1,1.9836065573770492,0.03,1.5625,2000,118,202,131.78979629430864,0.0
Random,dg04_64_123.tpf,RS,64,33,CACULATED_DEGREE,3.0,1.0,E2,64,124,17,6,1,1.9508196721311475,18,1,1.9836065573770492,0.03,1.5625,2000,118,105,131.78979629430864,0.0
Random,dg05_25_37.tpf,SAA,25,9,CACULATED_DEGREE,8.0,91.0,E1,25,38,11,8,1,1.5,13,1,1.5909090909090908,0.08,84.0,1000,67,502,-9.324162283085803e-31,0.0020127296447753906
Random,dg05_25_37.tpf,HS,25,9,CACULATED_DEGREE,8.0,91.0,E1,25,38,11,8,1,1.5,13,1,1.5909090909090908,0.08,84.0,1000,67,397,-9.324162283085803e-31,0.0
Random,dg05_25_37.tpf,RS,25,9,CACULATED_DEGREE,8.0,91.0,E1,25,38,11,8,1,1.5,13,1,1.5909090909090908,0.08,84.0,1000,59,1829,-9.324162283085803e-31,0.008044004440307617
Random,dg06_45_73.tpf,SAA,45,33,CACULATED_DEGREE,7.0,13.0,E2,45,74,21,8,1,1.6428571428571428,5,1,1.6904761904761905,0.07,13.333333333333334,2000,180,2823,9.037715298438478,0.002071857452392578
Random,dg06_45_73.tpf,HS,45,33,CACULATED_DEGREE,7.0,13.0,E2,45,74,21,8,1,1.6428571428571428,5,1,1.6904761904761905,0.07,13.333333333333334,2000,180,223,9.037715298438478,0.0
Random,dg06_45_73.tpf,RS,45,33,CACULATED_DEGREE,7.0,13.0,E2,45,74,21,8,1,1.6428571428571428,5,1,1.6904761904761905,0.07,13.333333333333334,2000,180,291,9.037715298438478,0.0020494461059570312
Random,dg07_82_186.tpf,SAA,82,42,CACULATED_DEGREE,16.0,66.0,E1,82,187,18,7,1,2.1772151898734178,12,1,2.329113924050633,0.16,64.63414634146342,1000,161,6640,-2.3856199960034246e-55,0.028162717819213867
